매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,상장주식수,ROE(%),주당배당금
107713.0,9418.0,8472.0,8.74,7.87,18.14,1107.36,,1550.79,13724.0,5.28,85684.0,0.84,2900.0,4.01,20.08,,,,
2170,-121,-238,-5.58,-10.96,-11.06,60.94,94.63,291.22,-266,-2.75,2443,0.30,-,-,-,,,,
151826,2902,2131,1.91,1.40,1.40,93.83,60.52,5274.30,2318,54.56,163572,0.77,-,-,-,,,,
2189.0,-16.0,-13.0,-0.74,-0.58,-1.17,160.06,65.32,2005.58,-116.0,-33.83,10528.0,0.37,100.0,2.55,-86.18,,,,
68833.0,5440.0,4296.0,7.9,6.24,6.03,41.43,112.07,11812.77,3387.0,9.91,57785.0,0.58,550.0,1.64,16.24,,,,
9540.0,149.0,109.0,1.56,1.15,5.35,185.92,71.25,597.0,373.0,5.9,7092.0,0.31,50.0,2.27,13.41,,,,
11136.0,1039.0,639.0,9.33,5.73,7.3,132.74,71.05,2542.54,4230.0,67.5,59095.0,4.83,471.0,0.17,11.07,,,,
71542.0,4838.0,3226.0,6.76,4.51,14.98,202.99,109.83,4305.47,597.0,18.69,4153.0,2.68,320.0,2.87,53.63,,,,
1085,171,192,15.76,17.68,14.90,36.30,433.13,418.25,367,98.90,2744,13.23,-,-,-,,,,
504124.0,11257.0,2311.0,2.23,0.46,2.09,898.06,63.17,834.76,919.0,27.21,48086.0,0.52,700.0,2.8,72.88,,,,
57173.0,2959.0,1694.0,5.17,2.96,20.16,283.59,59.33,411.78,4243.0,21.4,24282.0,3.74,350.0,0.39,7.83,,,,
